Studio_Name,Founded,Founder,Headquarters,Type,Country
2K Boston,2007,"Ken Levine, Jonathan Chey, Robert Fermier",Westwood,Subsdiary,U.S.A
Alexey Pajitnov,NA,NA,NA,NA,Russia
Bethesda Game Studios,2001,NA,Rockville,Divison,U.S.A
BioWare,1995,"Ray Muzyka, Greg Zeschuk",Edmonton,Subsdiary,Canada
Blizzard Entertainment,1991,"Allen Adham, Michael Morhaime, Frank Pearce",Irvine,Subsdiary,U.S.A
Bungie,1991,"Alex Seropian, Jason Jones",Bellevue,Private,U.S.A
Cavedog Entertainment,1995,"Shelley Day, Ron Gilbert",Bothell,Divison,U.S.A
CD PROJEKT RED,1994,"Marcin Iwiński, Michał Kiciński",Warsaw,Public,Poland
Colossal Order Ltd.,2009,Mariina Hallikainen,Tampere,Private,Finland
DICE,1992,"Olof Gustafsson, Markus Nystrom, Fredrik Liljegren, Andreas Axelsson",Stockholm,Subsdiary,Sweden
EA Los Angeles,1996,NA,Los Angeles,Subsdiary,U.S.A
EA Vancouver,1991,NA,Burnaby,Divison,Canada
Ensemble Studios,1994,Tony Goodman,Dallas,Subsdiary,U.S.A
Firaxis Games,1996,"Sid Meier, Jeff Briggs, Brian Reynolds",Spark,Subsdiary,U.S.A
Frictional Games,2007,"Thomas Grip, Jens Nilsson",Malmö,Private,Sweden
Gearbox Software,1999,"Randy Pitchford, Brian Martel, Stephen Bahl, Landon Montgomery, Rob Heironimus",Frisco,Subsdiary,U.S.A
Hudson Soft,1973,"Yuju Kudo, Hiroshi Kudo",Tokyo,Subsdiary,Japan
id Software,1991,"Adrian Carmack, John Carmack, Tom Hall, John Romero",Richardson,Subsdiary,U.S.A
Infinity Ward,2002,"Grant Collier, Jason West, Vince Zampella",Woodland Hills,Subsdiary,U.S.A
Innersloth,2015,"Marcus Bromander, Forest Willard",Redmond,NA,U.S.A
Intelligent Systems,1986,Toru Narihito,Kyoto,Public,Japan
Iron Gate Studio,2019,"Richard Svensson, Henrik Törnqvist",Skövde,Public,Sweden
Jagex,1999,"Andrew Gower, Paul Gower",Cambridge,Subsdiary,England
Koei Tecmo,2009,NA,Yokohama,Public,Japan
Lucas Molina,NA,NA,NA,NA,Brazil
Maxis,1987,"Will Wright, Jeff Braun",Redwoord Shores,Divison,U.S.A
Mojang,2009,Markus Persson,Stockholm,Subsdiary,Sweden
Moon Studios,2010,"Thomas Mahler, Gennadiy Korol",Vienna,Private,Austria
Naughty Dog,1984,"Andy Gavin, Jason Rubin",Santa Monica,Subsdiary,U.S.A
Neversoft,1994,"Joel Jewett, Mick West, Chris Ward",Woodland Hills,Subsdiary,U.S.A
Niantic,2010,John Hanke,San Francisco,Private,U.S.A
Nintendo,1889,Fusajiro Yamauchi,Kyoto,Public,Japan
Nintendo EAD,1983,Hiroshi Yamauchi,Kyoto,Divison,Japan
Psyonix,2000,Dave Hagewood,San Diego,Subsdiary,U.S.A
Rare,1985,"Tim Stamper, Chris Stamper",Twycross,Subsdiary,England
Re-Logic,2011,Andrew Spinks,Floyds Knobs,Private,U.S.A
Respawn Entertainment,2010,"Jason West, Vince Zampella",Sherman Oaks,Subsdiary,U.S.A
Riot Games,2006,"Brandon Beck, Marc Merrill",Los Angeles,Subsdiary,U.S.A
Robot Entertainment,2009,NA,Plano,Private,U.S.A
Santa Monica Studio,1999,Allan Becker,Los Angeles,Subsdiary,U.S.A
Square,1986,Masafumi Miyamoto,Tokyo,Public,Japan
TaleWorlds Entertainment,2005,NA,Ankara,Private,Turkey
Ubisoft Montreal,1997,NA,Montreal,Subsdiary,Canada
Valve,1996,"Gabe Newell, Mike Harrington",Bellevue,Private,U.S.A
Westwood Studios,1985,"Brett Sperry, Louis Castle",Las Vegas,Subsdiary,U.S.A