Title,Genre,Game Developer,Publisher,Release year,Sold copies(million),Review(metacritic)
Starcraft,RTS,Blizzard Entertainment,Blizzard Entertainment,1998,17.6,88
Starcraft 2,RTS,Blizzard Entertainment,Blizzard Entertainment,2010,6,93
Doom(2016),FPS,id Software,Bethesda Softworks,2016,3.6,85
Minecraft,"Sandbox, Open-World",Mojang,Microsoft Studios,2011,200,93
Warcraft 3,RTS,Blizzard Entertainment,Blizzard Entertainment,2002,4.4,92
BFME,RTS,EA Los Angeles,Ea Games,2004,1,82
Rainbow six siege,Tactical shooter,Ubisoft Montreal,Ubisoft,2015,70,79
For Honor,"Action, Fighting",Ubisoft Montreal,Ubisoft,2017,NA,76
Age of empieres III,RTS,Ensemble Studios,Microsoft Game Studios,2005,2,81
Total annihaltion,RTS,Cavedog Entertainment,Cavedog Entertainment,1997,1.5,86
The last of us,"Action, Adventure, Survial horror",Naughty Dog,Sony Computer Entertainment,2013,17,95
Mass effect 3,"Action, RPG",BioWare,Electronic Arts,2012,3.5,89
Halo 3,FPS,Bungie,Microsoft Game Studios,2007,14.5,94
Super Mario Bros.,Platformer,Nintendo EAD,Nintendo,1985,50,84
Borderlands 2,"FPS, RPG, Action",Gearbox Software,2K Games,2012,22,89
Star Wars: Battlefront,"FPS, TPS",DICE,Electronic Arts,2015,13,65
Mario kart 8,Kart Racing,Nintendo EAD,Nintendo,2014,33.41,92
Mario party,Party,Hudson Soft,Nintendo,1999,2.48,79
Guitar Hero III: Legends of Rock,"Music, Rhythm",Neversoft,Activision,2007,3,85
Command & Conquer: Red Alert,RTS,Westwood Studios,Virgin Interactive Entertainment,1996,2,90
Call of duty 4: Modern Warfare,FPS,Infinity Ward,Activision,2007,7,92
Uncharted 2: Among Thieves,"Action, Adventure, Platformer, TPS",Naughty Dog,Sony Computer Entertainment,2009,6,96
Terraria,"Action, Adventure, Sandbox",Re-Logic,505 Games,2011,30.3,83
Diablo 3,"Action, RPG, Hack and slash",Blizzard Entertainment,Blizzard Entertainment,2012,30,88
Half-life 2,"FPS, Action",Valve,Valve,2004,12,96
Portal 2,"Puzzle, Platformer",Valve,Valve,2011,4,95
Among us,Party,Innersloth,Innersloth,2018,100,85
World of Warcraft,MMORPG,Blizzard Entertainment,Blizzard Entertainment,2005,14,93
Pokemon Go,AR,"Niantic, Nintendo",Nintendo,2016,NA,69
Battlefield 1,FPS,DICE,Electronic Arts,2016,15,89
Counter strike,FPS,Valve,Valve,2000,4.2,88
Dota 2,MOBA,Valve,Valve,2013,NA,90
Rocket League,Sports,Psyonix,Psyonix,2015,10.5,86
League of Legends,MOBA,Riot Games,Riot Games,2009,NA,78
Destiny,"FPS, RPG",Bungie,Activision,2014,25,76
Apex Legends,"Battle Royale, FPS",Respawn Entertainment,Electronic Arts,2019,NA,88
Sea of Thieves,"Action, Adventure",Rare,Microsoft Studios,2018,15,67
Runescape,MMORPG,Jagex,Jagex,2001,NA,NA
FIFA 21,Sports,EA Vancouver,Ea Sports,2020,NA,73
Valheim,"Sandbox, Survial",Iron Gate Studio,Coffee Stain Publishing,2021,4,NA
Mount & Blade II: Bannerlord,"Strategy, Action, RPG",TaleWorlds Entertainment,TaleWorlds Entertainment,2020,3.5,NA
Sid Meier's Civilization V,Strategy,Firaxis Games,2K Games,2010,8,90